game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10158-10158_game_3,LPL,2023,LGD Gaming,ThunderTalk Gaming,"Aphelios,Graves,Neeko,Nautilus,Malphite","Jinx,Wukong,Aurelion Sol,Leona,K'Sante","Envyy,Meteor,haichao,Jinjiao,fearness","huanfeng,Beichuan,Ucal,yuyanjia,HOYA",0.3454,0.5903,blue,20.0,20.0
10159-10159_game_1,LPL,2023,FunPlus Phoenix,Ultra Prime,"Aphelios,Lee Sin,Annie,Lulu,K'Sante","Jinx,Wukong,Gragas,Nautilus,Gnar","Lwx,H4cker,Care,QiuQiu,Xiaolaohu","Doggo,Ning,Forge,SwordArt,Hery",0.4062,0.414,red,20.0,20.0
10159-10159_game_2,LPL,2023,FunPlus Phoenix,Ultra Prime,"Jinx,Vi,Aurelion Sol,Tahm Kench,Sion","Aphelios,Nocturne,Neeko,Braum,K'Sante","Lwx,H4cker,Care,QiuQiu,Xiaolaohu","Doggo,Ning,Forge,SwordArt,Hery",0.2607,0.4438,red,20.0,20.0
10160-10160_game_1,LPL,2023,Invictus Gaming,Ninjas in Pyjamas,"Xayah,Maokai,Jayce,Braum,Gwen","Aphelios,Vi,Neeko,Nautilus,Gnar","Ahn,Tianzhen,Cryin,Wink,YSKM","Photic,Shad0w,Angel,Zhuo,Invincible",0.4482,0.5755,blue,20.0,20.0
10160-10160_game_2,LPL,2023,Ninjas in Pyjamas,Invictus Gaming,"Jinx,Vi,Lissandra,Rakan,Kennen","Aphelios,Wukong,Ahri,Nautilus,Irelia","Photic,Shad0w,Angel,Zhuo,Invincible","Ahn,Tianzhen,Cryin,Wink,YSKM",0.6857,0.2824,red,20.0,20.0
10161-10161_game_1,LPL,2023,Royal Never Give Up,LNG Esports,"Jinx,Wukong,Neeko,Nautilus,Sion","Aphelios,Viego,Ahri,Rakan,K'Sante","LP,Wei,Tangyuan,LvMao,Breathe","GALA,Tarzan,Scout,Hang,Zika",0.5118,0.5735,red,20.0,20.0
10161-10161_game_2,LPL,2023,LNG Esports,Royal Never Give Up,"Jinx,Vi,Annie,Braum,Gnar","Aphelios,Wukong,Ahri,Yuumi,Gragas","GALA,Tarzan,Scout,Hang,Zika","LP,Wei,Tangyuan,LvMao,Breathe",0.6132,0.4221,red,20.0,20.0
10162-10162_game_1,LPL,2023,Top Esports,EDward Gaming,"Jinx,Vi,Annie,Rakan,Sion","Aphelios,Sejuani,K'Sante,Lulu,Gwen","JackeyLove,Tian,Rookie,Mark,Wayward","Leave,Jiejie,FoFo,Meiko,Ale",0.6075,0.5264,red,20.0,20.0
10162-10162_game_2,LPL,2023,EDward Gaming,Top Esports,"Aphelios,Wukong,Neeko,Nautilus,Jax","Xayah,Vi,Syndra,Rakan,K'Sante","Leave,Jiejie,FoFo,Meiko,Ale","JackeyLove,Tian,Rookie,Mark,Wayward",0.4348,0.5311,blue,20.0,20.0
10162-10162_game_3,LPL,2023,Top Esports,EDward Gaming,"Draven,Wukong,Ahri,Pyke,Gragas","Aphelios,Kha'Zix,Annie,Rakan,Gnar","JackeyLove,Tian,Rookie,Mark,Wayward","Leave,Jiejie,FoFo,Meiko,Ale",0.5807,0.3243,blue,20.0,20.0
10163-10163_game_1,LPL,2023,Bilibili Gaming,Rare Atom,"Aphelios,Kha'Zix,Neeko,Milio,Gragas","Jinx,Vi,Annie,Nautilus,Mordekaiser","Elk,Xun,Yagao,ON,Bin","Assum,Leyan,Strive,Feather,Xiaoxu",0.709,0.36,blue,20.0,20.0
10163-10163_game_2,LPL,2023,Bilibili Gaming,Rare Atom,"Jinx,Vi,Syndra,Alistar,Gnar","Xayah,Nocturne,Neeko,Rakan,Sylas","Elk,Xun,Yagao,ON,Bin","Assum,Leyan,Strive,Feather,Xiaoxu",0.6235,0.5667,red,20.0,20.0
10163-10163_game_3,LPL,2023,Bilibili Gaming,Rare Atom,"Aphelios,Vi,Neeko,Lulu,Sion","Jinx,Wukong,Annie,Thresh,Gragas","Elk,Xun,Yagao,ON,Bin","Assum,Leyan,Strive,Feather,Xiaoxu",0.6336,0.2622,red,20.0,20.0
10164-10164_game_1,LPL,2023,Weibo Gaming,Oh My God,"Zeri,Kha'Zix,Lissandra,Lulu,Gragas","Aphelios,Vi,Ahri,Yuumi,Aatrox","Light,Weiwei,Xiaohu,Crisp,TheShy","Able,Aki,Creme,ppgod,shanji",0.3477,0.5629,red,20.0,20.0
10164-10164_game_2,LPL,2023,Weibo Gaming,Oh My God,"Lucian,Vi,Gragas,Nami,Gnar","Aphelios,Nocturne,K'Sante,Lulu,Rumble","Light,Weiwei,Xiaohu,Crisp,TheShy","Able,Aki,Creme,ppgod,shanji",0.603,0.4153,blue,20.0,20.0
10164-10164_game_3,LPL,2023,Weibo Gaming,Oh My God,"Lucian,Vi,Viktor,Nami,Sion","Aphelios,Poppy,Akali,Milio,K'Sante","Light,Weiwei,Xiaohu,Crisp,TheShy","Able,Aki,Creme,ppgod,shanji",0.5923,0.5458,red,20.0,20.0
10165-10165_game_1,LPL,2023,JD Gaming,LNG Esports,"Jinx,Elise,Jayce,Thresh,K'Sante","Aphelios,Viego,Neeko,Lulu,Malphite","Ruler,Kanavi,Knight,MISSING,369","GALA,Tarzan,Scout,Hang,Zika",0.828,0.3943,blue,20.0,20.0
