game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
LOLTMNT02_76146,LCK,2024,Gen.G,T1,"Rek'Sai,Sejuani,Azir,Aphelios,Lulu","Zac,Xin Zhao,Taliyah,Lucian,Nami","Kiin,Canyon,Chovy,Peyz,Lehends","Zeus,Oner,Faker,Gumayusi,Keria",blue,16.1634,19.1623,0,0,2,,,,,0.2641,0.6073
LOLTMNT02_76147,LCK,2024,Gen.G,T1,"K'Sante,Kha'Zix,Aurelion Sol,Lucian,Nami","Gwen,Xin Zhao,Azir,Aphelios,Lulu","Kiin,Canyon,Chovy,Peyz,Lehends","Zeus,Oner,Faker,Gumayusi,Keria",blue,23.8327,30.0,0,0,0,,,,,0.502,0.1004
10955-10955_game_1,LPL,2024,Top Esports,JD Gaming,"Urgot,Sejuani,Azir,Lucian,Nami","Rek'Sai,Rell,Taliyah,Zeri,Lulu","369,Tian,Creme,JackeyLove,Meiko","Flandre,Kanavi,Yagao,Ruler,MISSING",red,15.8267,15.4998,0,1,1,,,,,0.4735,0.2367
LOLTMNT02_76148,LCK,2024,T1,Gen.G,"Zac,Xin Zhao,Orianna,Lucian,Nami","K'Sante,Poppy,Corki,Zeri,Annie","Zeus,Oner,Faker,Gumayusi,Keria","Kiin,Canyon,Chovy,Peyz,Lehends",blue,18.8333,30.0,0,2,1,,,,,0.2377,0.0475
10955-10955_game_2,LPL,2024,JD Gaming,Top Esports,"Rek'Sai,Lee Sin,Azir,Varus,Neeko","Urgot,Xin Zhao,Corki,Kalista,Leona","Flandre,Kanavi,Yagao,Ruler,MISSING","369,Tian,Creme,JackeyLove,Meiko",red,25.9952,23.6665,0,1,0,,,,,0.3673,0.4285
10955-10955_game_3,LPL,2024,Top Esports,JD Gaming,"Renekton,Sejuani,Tristana,Varus,Rumble","Ornn,Vi,Taliyah,Kalista,Neeko","369,Tian,Creme,JackeyLove,Meiko","Flandre,Kanavi,Yagao,Ruler,MISSING",blue,15.9933,30.0,0,3,0,,,,,0.5,0.0714
10955-10955_game_4,LPL,2024,JD Gaming,Top Esports,"Rumble,Viego,Taliyah,Kalista,Ashe","K'Sante,Xin Zhao,Ahri,Senna,Tahm Kench","Flandre,Kanavi,Yagao,Ruler,MISSING","369,Tian,Creme,JackeyLove,Meiko",blue,13.5,13.8328,0,2,2,,,,,0.7028,0.1757
LOLTMNT05_31072,LEC,2024,G2 Esports,Fnatic,"Sion,Rek'Sai,Veigar,Tristana,Lulu","Zac,Xin Zhao,Azir,Varus,Renata Glasc","BrokenBlade,Yike,Caps,Hans Sama,Mikyx","Oscarinin,Razork,Humanoid,Noah,Jun",red,13.1563,6.8311,0,2,5,,,,,0.4208,1.0168
LOLTMNT05_32101,LEC,2024,G2 Esports,Fnatic,"Sion,Volibear,Azir,Jinx,Thresh","K'Sante,Jax,Aurelion Sol,Kalista,Neeko","BrokenBlade,Yike,Caps,Hans Sama,Mikyx","Oscarinin,Razork,Humanoid,Noah,Jun",red,21.4992,15.1662,0,3,3,,,,,0.6529,0.6186
LOLTMNT02_75176,CBLOL,2024,Vivo Keyd Stars,paiN Gaming,"Rek'Sai,Jarvan IV,Taliyah,Kai'Sa,Rell","Rumble,Vi,Azir,Xayah,Rakan","Guigo,Disamis,Leleko,Smiley,ProDelta","Wizer,CarioK,dyNquedo,TitaN,Kuri",blue,16.3296,19.8293,0,1,2,,,,,0.4101,0.5994
LOLTMNT05_32104,LEC,2024,Fnatic,G2 Esports,"Zac,Poppy,Aurelion Sol,Varus,Renata Glasc","Twisted Fate,Rek'Sai,Azir,Kalista,Blitzcrank","Oscarinin,Razork,Humanoid,Noah,Jun","BrokenBlade,Yike,Caps,Hans Sama,Mikyx",red,21.4983,10.157,0,4,4,,,,,0.7212,0.5049
LOLTMNT02_75180,CBLOL,2024,Vivo Keyd Stars,paiN Gaming,"Rek'Sai,Jarvan IV,Hwei,Kai'Sa,Rell","Rumble,Vi,Azir,Xayah,Rakan","Guigo,Disamis,Leleko,Smiley,ProDelta","Wizer,CarioK,dyNquedo,TitaN,Kuri",red,24.6562,18.1584,0,0,1,,,,,0.2245,0.6736
LOLTMNT05_32107,LEC,2024,Fnatic,G2 Esports,"K'Sante,Volibear,Azir,Varus,Rakan","Zac,Rek'Sai,Taliyah,Jinx,Thresh","Oscarinin,Razork,Humanoid,Noah,Jun","BrokenBlade,Yike,Caps,Hans Sama,Mikyx",red,7.8308,6.9974,0,7,6,,,,,0.9442,0.6295
