game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
LOLTMNT06_110244,2025-04-08,2025,PRM,Berlin International Gaming,E WIE EINFACH E-SPORTS,1,"Ambessa,Maokai,Tristana,Kai'Sa,Rell","Sion,Dr. Mundo,Taliyah,Ezreal,Alistar","Shelfmade,Leb,Dajor,BEAN,LIMIT","Rocklho,Afroboi,Relative,Noz2k,Tockimo"
LOLTMNT06_110253,2025-04-08,2025,PRM,Eintracht Frankfurt,Dung Dynasty,0,"Gwen,Jarvan IV,Viktor,Corki,Nautilus","Fiora,Elise,Yone,Kai'Sa,Rakan","Sacre,Techoteco,ZaZee,Varry,Veignorem","Send0o,Agurin,Phantasm,Reptile,Lucky"
LOLTMNT06_110260,2025-04-08,2025,PRM,Dung Dynasty,Eintracht Frankfurt,1,"Sion,Naafiri,Ahri,Kalista,Neeko","Yorick,Pantheon,Azir,Varus,Rell","Send0o,Agurin,Phantasm,Reptile,Lucky","Sacre,Techoteco,ZaZee,Varry,Veignorem"
LOLTMNT06_111240,2025-04-08,2025,PRM,E WIE EINFACH E-SPORTS,Berlin International Gaming,0,"K'Sante,Gwen,Jayce,Mel,Nautilus","Aurora,Lillia,Yone,Varus,Leona","Rocklho,Afroboi,Relative,Noz2k,Tockimo","Shelfmade,Leb,Dajor,BEAN,LIMIT"
LOLTMNT06_111248,2025-04-08,2025,PRM,Kaufland Hangry Knights,Eintracht Spandau,0,"Jayce,Xin Zhao,Ryze,Kai'Sa,Leona","Ambessa,Dr. Mundo,Taliyah,Jhin,Alistar","Venour,Rabble,Random,Jeskla,Visdom","Pride,jokaa,PowerOfEvil,Broeki,Lilipp"
LOLTMNT06_110324,2025-04-09,2025,PRM,Austrian Force willhaben,ROSSMANN Centaurs,1,"Gwen,Jarvan IV,Ahri,Ezreal,Fiddlesticks","LeBlanc,Sejuani,Yone,Varus,Pyke","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda","Nice Guy Ben,Xagog,RoyalKanin,Syzyfek,Wildenbruch"
LOLTMNT06_110339,2025-04-09,2025,LFL,Galions,Ici Japon Corp. Esport,1,"Sion,Maokai,Azir,Ezreal,Rell","Aatrox,Skarner,Akali,Varus,Rakan","Ragner,Xerxe,Serin,Jezu,Zoelys","Howling,Theocacs,Sertuss,SamD,Prime"
LOLTMNT06_110355,2025-04-09,2025,LFL,Joblife,Gentle Mates,1,"Gnar,Sejuani,Sylas,Varus,Karma","Aatrox,Maokai,Azir,Kalista,Rell","Leny,RAMES,Diplex,Deadly,Twiizt","Empyros,Zicssi,Eika,Comp,Erdote"
LOLTMNT06_110372,2025-04-09,2025,PRM,Unicorns of Love Sexy Edition,TeamOrangeGaming,0,"Aatrox,Maokai,Corki,Varus,Braum","Rumble,Sejuani,Smolder,Tristana,Rell","Fornoreason,White,Simpli,DenVoksne,seaz","Smurfe,Cboi,Six10,Vzz,Infoneral"
LOLTMNT06_110384,2025-04-09,2025,PRM,Unicorns of Love Sexy Edition,TeamOrangeGaming,0,"Ambessa,Skarner,Azir,Sivir,Lulu","Renekton,Xin Zhao,Taliyah,Ezreal,Alistar","Fornoreason,White,Simpli,DenVoksne,seaz","Smurfe,Cboi,Six10,Vzz,Infoneral"
LOLTMNT06_111312,2025-04-09,2025,LFL,BK ROG Esports,GameWard,1,"Rumble,Sejuani,Yone,Jhin,Rakan","Aurora,Vi,Yasuo,Ashe,Renata Glasc","Szygenda,Rhilech,OMON,Booshi,Doss","Zest,Stormax,Backlund,Matias,HONOR"
LOLTMNT06_111336,2025-04-09,2025,LFL,Vitality.Bee,Team BDS Academy,1,"Jax,Jarvan IV,Azir,Sivir,Rell","Shen,Lillia,Corki,Miss Fortune,Leona","Vertigo,Lurox,Vetheo,Jopa,Fleshy","Papiteero,Shlatan,Toffe,Mishi,Myrtus"
LOLTMNT06_111359,2025-04-09,2025,PRM,ROSSMANN Centaurs,Austrian Force willhaben,1,"Gragas,Xin Zhao,Azir,Tristana,Nautilus","Ambessa,Maokai,Taliyah,Jhin,Alistar","Nice Guy Ben,Xagog,RoyalKanin,Syzyfek,Wildenbruch","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda"
LOLTMNT06_111385,2025-04-09,2025,PRM,ROSSMANN Centaurs,Austrian Force willhaben,0,"Ryze,Skarner,Corki,Ashe,Blitzcrank","Dr. Mundo,Lillia,Viktor,Caitlyn,Rell","Nice Guy Ben,Xagog,RoyalKanin,Syzyfek,Wildenbruch","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda"
